angolo,distanza_pistola__tavolo,distanza_tavolo__postit,distanza_postit__colpo
45,4,146.8,4.6
45,4,146.8,5.1
45,4,146.8,5.1
45,4,146.8,6
45,4,146.8,5.9
45,4,146.8,6.5
45,4,146.8,6.3
45,4,146.8,6.3
45,4,146.8,6.2
45,4,146.8,6.2
45,4,146.8,3
45,4,146.8,3.4
45,4,146.8,6
45,4,146.8,4.8
45,4,146.8,6.1
45,4,146.8,6.5
45,4,146.8,6.5
45,4,146.8,6.5
45,4,146.8,7
45,4,146.8,7.1
45,4,146.8,2.2
45,4,146.8,2.9
45,4,146.8,6.2
45,4,146.8,6
45,4,146.8,6.2
45,4,146.8,6.3
45,4,146.8,6.5
45,4,146.8,6.6
45,4,146.8,7
45,4,146.8,7.5
45,4,146.8,0.1
45,4,146.8,2.2
45,4,146.8,3
45,4,146.8,5.2
45,4,146.8,5.4
45,4,146.8,5.9
45,4,146.8,6.5
45,4,146.8,6.7
45,4,146.8,6.9
45,4,146.8,7.5
45,4,146.8,4.5
45,4,146.8,4.5
45,4,146.8,5.3
45,4,146.8,5.6
45,4,146.8,5.7
45,4,146.8,6
45,4,146.8,6.1
45,4,146.8,6.8
45,4,146.8,7
45,4,146.8,7.2
45,4,146.8,5.5
45,4,146.8,5.6
45,4,146.8,5.6
45,4,146.8,6
45,4,146.8,6.5
45,4,146.8,6.6
45,4,146.8,6.7
45,4,146.8,6.8
45,4,146.8,6.9
45,4,146.8,7.2
25,4,118.6,0.9
25,4,118.6,0.9
25,4,118.6,0.9
25,4,118.6,1
25,4,118.6,1
25,4,118.6,1.6
25,4,118.6,1.8
25,4,118.6,1.9
25,4,118.6,2
25,4,118.6,2.5
25,4,118.6,2.1
25,4,118.6,2.3
25,4,118.6,3.2
25,4,118.6,2.5
25,4,118.6,2.1
25,4,118.6,2.4
25,4,118.6,2.5
25,4,118.6,1.9
25,4,118.6,2.9
25,4,118.6,2.9
25,4,118.6,2.3
25,4,118.6,2.1
25,4,118.6,3
25,4,118.6,3
25,4,118.6,3.6
25,4,118.6,2.5
25,4,118.6,2.5
25,4,118.6,2.5
25,4,118.6,1.6
25,4,118.6,1.7
25,4,118.6,0.7
25,4,118.6,1.7
25,4,118.6,2
25,4,118.6,2.3
25,4,118.6,0.7
25,4,118.6,2.6
25,4,118.6,1.8
25,4,118.6,1
25,4,118.6,1.4
25,4,118.6,0.9
25,4,118.6,0.6
25,4,118.6,1
25,4,118.6,1
25,4,118.6,1.3
25,4,118.6,1.7
25,4,118.6,1.9
25,4,118.6,1.6
25,4,118.6,1.7
25,4,118.6,1.6
25,4,118.6,1.7
25,4,118.6,1.5
25,4,118.6,2.5
25,4,118.6,1.9
25,4,118.6,1.5
25,4,118.6,1.1
25,4,118.6,0.6
25,4,118.6,1.7
25,4,118.6,0.8
25,4,118.6,0.5
25,4,118.6,2
65,4,101.3,7.5
65,4,101.3,10
65,4,101.3,8.4
65,4,101.3,8.7
65,4,101.3,7.1
65,4,101.3,8.8
65,4,101.3,9
65,4,101.3,8.5
65,4,101.3,10.4
65,4,101.3,7.7
65,4,101.3,2
65,4,101.3,4.3
65,4,101.3,5
65,4,101.3,5.9
65,4,101.3,5.8
65,4,101.3,6.7
65,4,101.3,6.6
65,4,101.3,7.2
65,4,101.3,7.3
65,4,101.3,10.1
65,4,101.3,6.9
65,4,101.3,8
65,4,101.3,8.1
65,4,101.3,8.2
65,4,101.3,8.5
65,4,101.3,8.6
65,4,101.3,8.7
65,4,101.3,8.7
65,4,101.3,9.2
65,4,101.3,9.4
65,4,101.3,8.1
65,4,101.3,8.3
65,4,101.3,8.2
65,4,101.3,8.8
65,4,101.3,8.9
65,4,101.3,8.7
65,4,101.3,8.7
65,4,101.3,9.2
65,4,101.3,9
65,4,101.3,9
65,4,101.3,5.9
65,4,101.3,6.3
65,4,101.3,6.3
65,4,101.3,6.3
65,4,101.3,6.6
65,4,101.3,6.8
65,4,101.3,7
65,4,101.3,7
65,4,101.3,7.3
65,4,101.3,9.5
65,4,101.3,5.4
65,4,101.3,7
65,4,101.3,7.8
65,4,101.3,7.8
65,4,101.3,8
65,4,101.3,8
65,4,101.3,8.2
65,4,101.3,8.5
65,4,101.3,8.7
65,4,101.3,8.6
